"id","partnumber","description","manufacturer","lib","aircraft","created_at","updated_at"
"187","D22710000","SIDE BRACE ASSEMBLY, MLG","SAFRAN LS","72",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"188","D22715000","UNLOCKING ACTUATOR, MLG","SAFRAN LS","73",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"189","D22715500","UNLOCKING ACTUATOR, MLG","SAFRAN LS","73",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"190","201073003","SIDE STAY ASSEMBLY","SAFRAN LS","74",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"191","D22703000","DRAG BRACE ASSEMBLY, NLG","SAFRAN LS","75",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"192","D22703072","DRAG BRACE ASSEMBLY, NLG","SAFRAN LS","75",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"193","D22708000","UNLOCKING ACTUATOR, NLG","SAFRAN LS","76",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"194","D22708500","UNLOCKING ACTUATOR, NLG","SAFRAN LS","76",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"195","1023100","DAMPER, ELEVATOR FLUTTER","HEROUX","77",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"196","102526003","DOUBLE PRESSURE RELIEF VALVE","SAFRAN LS","78",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"197","201071001","NOSE LANDING GEAR","SAFRAN LS","78",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"198","201071002","NOSE LANDING GEAR","SAFRAN LS","78",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"199","201071003","NOSE LANDING GEAR","SAFRAN LS","78",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"200","201071004","NOSE LANDING GEAR","SAFRAN LS","78",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"201","820902","FLOW CONTROL AND SHUTOFF VALVE","HAMILTON SUNDSTRAND","79",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"202","40574","ACTUATOR, DC","EATON AEROSPACE","80",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"203","17051","UPLOCK ASSY, MLG","SAFRAN LS","81",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"204","D23197000","UPPER INT ELECTRICAL HARNESS, LH","SAFRAN LS","82",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"205","D23198000","UPPER INT ELECTRICAL HARNESS, RH","SAFRAN LS","82",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"206","D23199000","LOWER INT ELECTRICAL HARNESS, LH","SAFRAN LS","82",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"207","D23200000","LOWER INT ELECTRICAL HARNESS. RH","SAFRAN LS","82",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"208","D23201000","UPPER EXT ELECTRICAL HARNESS, LH","SAFRAN LS","82",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"209","D23202000","UPPER EXT ELECTRICAL HARNESS, RH","SAFRAN LS","82",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"210","D23203000","LOWER EXT ELECTRICAL HARNESS ,LH","SAFRAN LS","82",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"211","D23204000","LOWER EXT ELECTRICAL HARNESS, RH","SAFRAN LS","82",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"212","D2318800","SHOCK ABSORBER, MLG","SAFRAN LS","83",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"213","D23188000","SHOCK ABSORBER, MLG","SAFRAN LS","83",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"214","D23189000","LH LEG ASSEMBLY, MLG","SAFRAN LS","83",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"215","D23189100","LH LEG ASSEMBLY, MLG","SAFRAN LS","83",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"216","D23190000","RH LEG ASSEMBLY, MLG","SAFRAN LS","83",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"217","D23190100","LH LEG ASSEMBLY, MLG","SAFRAN LS","83",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
